name,id
SERF_IA Tile Nitrate-N Load,1kgYKt6RtgjZcebndZ3Nwt-dFNq59aMteZbecsONx9tc
SERF_IA Crop Yield Data,19xdnnSFMtDdLT1m1QgazPr96jOPfqS0-xMbiDRjtW9U
SERF_IA Weather,1Mqj20ksjzR05WJ-IAgHraZCfBzv2AWAw9R8iVXJwjFw
SERF_IA Soil Data,1yQjNo4xJwqTVr9E30zZYkRnVOt3EQWAwoc8beZm9dRA
SERF_IA WQ,1wn0wtiszIYiw8nkJ5nS71BgBXkNZvXndjzv877-OGaA
SERF_IA Tile Nitrate-N Load ORIGINAL,1Nk9HAhu5KTEYE9m1DsNna8EifERsiuvlX4tcph_gi3U
SERF_IA Tile Flow,1jMxNDuV8-zKXOvVn-Jce-c8httpSkZWqBFdz0BXvGqM
DAILY CLEAN - SERF_IA Tile Flow,1E8He8fLjgKuGnrnOFAofUoqnd_KNeFX1jnHvC-ArHtw
FILLED - SERF_IA Tile Flow,1gO5YyhBo1IJbRAJVvihO8CqpaQF5HVOW5RjvhPDtDY4
SERF_IA Water Table Depth,1pG264E_2Vpq3uzkCYlYQNYdO44fyzUQMBjNgb5Kc_qQ
CLAY_R Tile Water EC,1n_33ZqlvyMQJ2rsTEwPFjSPJHTxHqiItRXhBNLJsGEk
CLAY_R Crop Yield Data,1KGF2zuh_SAtJeRzpGcTXN4whr2XYVlFrnjRmRcTDzow
CLAY_R WQ,1ogDS_uQyaqRyS1XNiWFSH457lhzyp5SOsyGOQ75DBWI
CLAY_R Turbidity,1RNhJ4093hmbHCPfQqBeBrvCld6cBlXNxD2yOkoJVloE
CLAY_R Soil Data,1dP2qpWC3wHR5UXaNu-uFYeiEaOplBt2roJJt2aP3BAQ
CLAY_R Weather,1VzC5Xa7b_AHwIhRkUE_3ft_Rqbt1DEZH8Hdo8TnUGJE
CLAY_R Tile Nitrate-N Load,1inpG6gacbcdsYrpg2Oxqn75d8jlJVzAYjKFQglnf238
CLAY_R Tile Flow,1F3VGEL3u-w-1_UhafkPXg6J8mMkLHZTcjArMDFun9as
